"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Order could not be generated.","Order could not be generated."
"LinkToPay could not be generated for this order.","LinkToPay could not be generated for this order."
"We can't place the last order.","We can't place the last order."
"Sorry, your payment could not be processed. (Code: %1)","Sorry, your payment could not be processed. (Code: %1)"
"Invalid Payment Method","Invalid Payment Method"
"Sorry, your payment could not be processed. (Code: ERR01)","Sorry, your payment could not be processed. (Code: ERR01)"
"Sorry, your refund could not be processed. (Code: %1)","Sorry, your refund could not be processed. (Code: %1)"
Mexico,Mexico
Ecuador,Ecuador
Colombia,Colombia
Brazil,Brazil
Peru,Peru
Argentina,Argentina
Venezuela,Venezuela
Chile,Chile
"Mexican Peso","Mexican Peso"
"US Dollar","US Dollar"
"Colombian Peso","Colombian Peso"
"Brazilian Real","Brazilian Real"
"Peruvian Nuevo Sol","Peruvian Nuevo Sol"
"Argentine Peso","Argentine Peso"
"Venezuelan Bolívar","Venezuelan Bolívar"
"Chilean Peso","Chilean Peso"
Staging,Staging
Production,Production
"Deferred with interest","Deferred with interest "
"Deferred without interest","Deferred without interest"
"Deferred without interest and months of grace","Deferred without interest and months of grace"
Authorize,Authorize
"Authorize & Capture","Authorize & Capture"
"Order not found","Order not found"
"Order status is complete, can't change.","Order status is complete, can't change."
"stokens did not match.","stokens did not match."
"Place Order","Place Order"
"%1 installments","%1 installments"
"Deferred with interest","Deferred with interest"
"Deferred without interest","Deferred without interest"
"Deferred without interest and months of grace","Deferred without interest and months of grace"
"Disable Installments","Disable Installments"
ViComm,ViComm
Enabled,Enabled
"Card Options","Card Options"
"Active pay with card","Active pay with card"
Title,Title
Environment,Environment
"Payment Action","Payment Action"
"Supported Brands","Supported Brands"
"Allow Installments","Allow Installments"
"Installments Types","Installments Types"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Leave empty to disable limit","Leave empty to disable limit"
"Sort Order","Sort Order"
"LinkToPay Options","LinkToPay Options"
"Active pay with LTP","Active pay with LTP"
"Allow Partial Payments","Allow Partial Payments"
"Expiration Days for LinkToPay","Expiration Days for LinkToPay"
Credentials,Credentials
"Production Server Application Code","Production Server Application Code"
"Production Server Application Key","Production Server Application Key"
"Production Client Application Code","Production Client Application Code"
"Production Client Application Key","Production Client Application Key"
"Staging Server Application Code","Staging Server Application Code"
"Staging Server Application Key","Staging Server Application Key"
"Staging Client Application Code","Staging Client Application Code"
"Staging Client Application Key","Staging Client Application Key"
"Supported Countries","Supported Countries"
"Supported Currencies","Supported Currencies"
Debug,Debug
"In how many installments do you want to pay?","In how many installments do you want to pay?"
"Select the installments type to pay", "Select the installments type to pay"
